Module,Chapter,Subtopic,Project
"Module 1: Foundations of Economics and Finance","Chapter 1.1: Introduction to Microeconomics","Supply and Demand: Equilibrium, shifts, elasticity","Demand Forecasting Model: Collect sales data (e.g., Kaggle retail dataset). Use pandas to clean data and statsmodels to build a regression model predicting demand based on price and income. Visualize results with matplotlib/seaborn. Deliverable: Jupyter notebook, visualizations, 1-page report interpreting results."
"Module 1: Foundations of Economics and Finance","Chapter 1.1: Introduction to Microeconomics","Consumer Behavior: Utility theory, indifference curves, budget constraints","Demand Forecasting Model: Collect sales data (e.g., Kaggle retail dataset). Use pandas to clean data and statsmodels to build a regression model predicting demand based on price and income. Visualize results with matplotlib/seaborn. Deliverable: Jupyter notebook, visualizations, 1-page report interpreting results."
"Module 1: Foundations of Economics and Finance","Chapter 1.1: Introduction to Microeconomics","Producer Behavior: Cost curves, profit maximization, production functions","Demand Forecasting Model: Collect sales data (e.g., Kaggle retail dataset). Use pandas to clean data and statsmodels to build a regression model predicting demand based on price and income. Visualize results with matplotlib/seaborn. Deliverable: Jupyter notebook, visualizations, 1-page report interpreting results."
"Module 1: Foundations of Economics and Finance","Chapter 1.1: Introduction to Microeconomics","Market Structures: Perfect competition, monopoly, oligopoly, game theory basics","Demand Forecasting Model: Collect sales data (e.g., Kaggle retail dataset). Use pandas to clean data and statsmodels to build a regression model predicting demand based on price and income. Visualize results with matplotlib/seaborn. Deliverable: Jupyter notebook, visualizations, 1-page report interpreting results."
"Module 1: Foundations of Economics and Finance","Chapter 1.1: Introduction to Microeconomics","Game theory in M&A negotiations (Investment Banking)","Simulate an M&A negotiation using Python’s nashpy."
"Module 1: Foundations of Economics and Finance","Chapter 1.1: Introduction to Microeconomics","Pricing strategies for IPOs (Investment Banking)","Simulate an M&A negotiation using Python’s nashpy."
"Module 1: Foundations of Economics and Finance","Chapter 1.1: Introduction to Microeconomics","Externalities, carbon pricing (Sustainability)","Model carbon tax impacts on firm profits."
"Module 1: Foundations of Economics and Finance","Chapter 1.2: Introduction to Macroeconomics","GDP and Economic Growth: Measurement, components, Solow model","Macroeconomic Trend Analysis: Download GDP and inflation data from the World Bank. Use R’s forecast package for time-series analysis and predict inflation trends. Create a dashboard with ggplot2 to present findings. Deliverable: R script, dashboard, 500-word policy implications summary."
"Module 1: Foundations of Economics and Finance","Chapter 1.2: Introduction to Macroeconomics","Inflation and Deflation: CPI, PPI, monetary policy impacts","Macroeconomic Trend Analysis: Download GDP and inflation data from the World Bank. Use R’s forecast package for time-series analysis and predict inflation trends. Create a dashboard with ggplot2 to present findings. Deliverable: R script, dashboard, 500-word policy implications summary."
"Module 1: Foundations of Economics and Finance","Chapter 1.2: Introduction to Macroeconomics","Unemployment: Types, measurement, Phillips curve","Macroeconomic Trend Analysis: Download GDP and inflation data from the World Bank. Use R’s forecast package for time-series analysis and predict inflation trends. Create a dashboard with ggplot2 to present findings. Deliverable: R script, dashboard, 500-word policy implications summary."
"Module 1: Foundations of Economics and Finance","Chapter 1.2: Introduction to Macroeconomics","Monetary and Fiscal Policy: Central banks, interest rates, government spending","Macroeconomic Trend Analysis: Download GDP and inflation data from the World Bank. Use R’s forecast package for time-series analysis and predict inflation trends. Create a dashboard with ggplot2 to present findings. Deliverable: R script, dashboard, 500-word policy implications summary."
"Module 1: Foundations of Economics and Finance","Chapter 1.2: Introduction to Macroeconomics","Impact of monetary policy on capital markets (Investment Banking)","Analyze bond yield changes post-rate hike using R."
"Module 1: Foundations of Economics and Finance","Chapter 1.2: Introduction to Macroeconomics","Green monetary policies (Sustainability)","Analyze green bond trends using R."
"Module 1: Foundations of Economics and Finance","Chapter 1.3: Financial Markets and Instruments","Types of Financial Markets: Stock, bond, derivatives, forex","Stock Market Analysis and Portfolio Optimization: Use Yahoo Finance API to download historical prices for 10 stocks. Calculate daily returns, moving averages, and volatility. Implement Markowitz portfolio optimization to minimize risk for a given return. Visualize price trends and efficient frontier with matplotlib. Deliverable: Python script, visualizations, 1-page portfolio analysis."
"Module 1: Foundations of Economics and Finance","Chapter 1.3: Financial Markets and Instruments","Key Financial Instruments: Stocks, bonds, options, futures, swaps","Stock Market Analysis and Portfolio Optimization: Use Yahoo Finance API to download historical prices for 10 stocks. Calculate daily returns, moving averages, and volatility. Implement Markowitz portfolio optimization to minimize risk for a given return. Visualize price trends and efficient frontier with matplotlib. Deliverable: Python script, visualizations, 1-page portfolio analysis."
"Module 1: Foundations of Economics and Finance","Chapter 1.3: Financial Markets and Instruments","Market Participants: Investors, brokers, market makers, regulators","Stock Market Analysis and Portfolio Optimization: Use Yahoo Finance API to download historical prices for 10 stocks. Calculate daily returns, moving averages, and volatility. Implement Markowitz portfolio optimization to minimize risk for a given return. Visualize price trends and efficient frontier with matplotlib. Deliverable: Python script, visualizations, 1-page portfolio analysis."
"Module 1: Foundations of Economics and Finance","Chapter 1.3: Financial Markets and Instruments","Risk and Return: CAPM, efficient frontier, portfolio theory","Stock Market Analysis and Portfolio Optimization: Use Yahoo Finance API to download historical prices for 10 stocks. Calculate daily returns, moving averages, and volatility. Implement Markowitz portfolio optimization to minimize risk for a given return. Visualize price trends and efficient frontier with matplotlib. Deliverable: Python script, visualizations, 1-page portfolio analysis."
"Module 1: Foundations of Economics and Finance","Chapter 1.3: Financial Markets and Instruments","Syndicate roles (Investment Banking)","Price a convertible bond using Python’s quantlib."
"Module 1: Foundations of Economics and Finance","Chapter 1.3: Financial Markets and Instruments","Structuring derivatives deals (Investment Banking)","Price a convertible bond using Python’s quantlib."
"Module 1: Foundations of Economics and Finance","Chapter 1.3: Financial Markets and Instruments","Green bonds, ESG funds (Sustainability)","Build an ESG-compliant portfolio."
"Module 1: Foundations of Economics and Finance","Chapter 1.4: Time Value of Money and Quantitative Methods","Present and Future Value: Compounding, discounting","Monte Carlo Simulation for Option Pricing: Simulate stock price paths using geometric Brownian motion in Python. Price a European call option using Monte Carlo methods. Visualize price paths and option value distribution. Deliverable: Jupyter notebook, visualizations, 500-word analysis."
"Module 1: Foundations of Economics and Finance","Chapter 1.4: Time Value of Money and Quantitative Methods","Annuities and Perpetuities: Calculations, applications","Monte Carlo Simulation for Option Pricing: Simulate stock price paths using geometric Brownian motion in Python. Price a European call option using Monte Carlo methods. Visualize price paths and option value distribution. Deliverable: Jupyter notebook, visualizations, 500-word analysis."
"Module 1: Foundations of Economics and Finance","Chapter 1.4: Time Value of Money and Quantitative Methods","Discount Rates and Interest Rates: Yield curves, risk-free rates","Monte Carlo Simulation for Option Pricing: Simulate stock price paths using geometric Brownian motion in Python. Price a European call option using Monte Carlo methods. Visualize price paths and option value distribution. Deliverable: Jupyter notebook, visualizations, 500-word analysis."
"Module 1: Foundations of Economics and Finance","Chapter 1.4: Time Value of Money and Quantitative Methods","Probability and Statistics: Distributions, hypothesis testing, Monte Carlo simulations","Monte Carlo Simulation for Option Pricing: Simulate stock price paths using geometric Brownian motion in Python. Price a European call option using Monte Carlo methods. Visualize price paths and option value distribution. Deliverable: Jupyter notebook, visualizations, 500-word analysis."
"Module 1: Foundations of Economics and Finance","Chapter 1.4: Time Value of Money and Quantitative Methods","Black-Scholes option pricing (Investment Banking)","Implement Black-Scholes in Python."
"Module 1: Foundations of Economics and Finance","Chapter 1.4: Time Value of Money and Quantitative Methods","ESG risk-adjusted discount rates (Sustainability)","Adjust discount rates for ESG risks."
"Module 2: Corporate Finance and Accounting","Chapter 2.1: Understanding Financial Statements","Balance Sheet: Assets, liabilities, equity","Automated Financial Statement Analysis: Extract financial data from a company’s 10-K (SEC EDGAR or Kaggle). Use pandas to calculate liquidity, profitability, and leverage ratios. Create a Tableau dashboard to visualize trends. Deliverable: Python script, Tableau dashboard, 1-page report."
"Module 2: Corporate Finance and Accounting","Chapter 2.1: Understanding Financial Statements","Income Statement: Revenue, expenses, net income","Automated Financial Statement Analysis: Extract financial data from a company’s 10-K (SEC EDGAR or Kaggle). Use pandas to calculate liquidity, profitability, and leverage ratios. Create a Tableau dashboard to visualize trends. Deliverable: Python script, Tableau dashboard, 1-page report."
"Module 2: Corporate Finance and Accounting","Chapter 2.1: Understanding Financial Statements","Cash Flow Statement: Operating, investing, financing activities","Automated Financial Statement Analysis: Extract financial data from a company’s 10-K (SEC EDGAR or Kaggle). Use pandas to calculate liquidity, profitability, and leverage ratios. Create a Tableau dashboard to visualize trends. Deliverable: Python script, Tableau dashboard, 1-page report."
"Module 2: Corporate Finance and Accounting","Chapter 2.1: Understanding Financial Statements","Notes to Financial Statements: Key disclosures, adjustments","Automated Financial Statement Analysis: Extract financial data from a company’s 10-K (SEC EDGAR or Kaggle). Use pandas to calculate liquidity, profitability, and leverage ratios. Create a Tableau dashboard to visualize trends. Deliverable: Python script, Tableau dashboard, 1-page report."
"Module 2: Corporate Finance and Accounting","Chapter 2.1: Understanding Financial Statements","M&A due diligence adjustments (Investment Banking)","Adjust financials for an M&A scenario in Python."
"Module 2: Corporate Finance and Accounting","Chapter 2.1: Understanding Financial Statements","ESG adjustments (Sustainability)","Incorporate ESG metrics in financial analysis."
"Module 2: Corporate Finance and Accounting","Chapter 2.2: Financial Ratio Analysis","Liquidity Ratios: Current ratio, quick ratio","Ratio Benchmarking Tool: Collect financial ratios for 5 companies in an industry. Use Python to perform statistical comparisons (e.g., t-tests) against industry averages. Visualize results with seaborn. Deliverable: Python script, visualizations, 500-word comparative analysis."
"Module 2: Corporate Finance and Accounting","Chapter 2.2: Financial Ratio Analysis","Profitability Ratios: ROA, ROE, profit margin","Ratio Benchmarking Tool: Collect financial ratios for 5 companies in an industry. Use Python to perform statistical comparisons (e.g., t-tests) against industry averages. Visualize results with seaborn. Deliverable: Python script, visualizations, 500-word comparative analysis."
"Module 2: Corporate Finance and Accounting","Chapter 2.2: Financial Ratio Analysis","Leverage Ratios: Debt-to-equity, interest coverage","Ratio Benchmarking Tool: Collect financial ratios for 5 companies in an industry. Use Python to perform statistical comparisons (e.g., t-tests) against industry averages. Visualize results with seaborn. Deliverable: Python script, visualizations, 500-word comparative analysis."
"Module 2: Corporate Finance and Accounting","Chapter 2.2: Financial Ratio Analysis","Efficiency Ratios: Asset turnover, inventory turnover","Ratio Benchmarking Tool: Collect financial ratios for 5 companies in an industry. Use Python to perform statistical comparisons (e.g., t-tests) against industry averages. Visualize results with seaborn. Deliverable: Python script, visualizations, 500-word comparative analysis."
"Module 2: Corporate Finance and Accounting","Chapter 2.2: Financial Ratio Analysis","Ratios for M&A target selection (Investment Banking)","Compare M&A targets using Python."
"Module 2: Corporate Finance and Accounting","Chapter 2.2: Financial Ratio Analysis","ESG performance ratios (Sustainability)","Benchmark ESG ratios across firms."
"Module 2: Corporate Finance and Accounting","Chapter 2.3: Cost of Capital and Capital Structure","Weighted Average Cost of Capital (WACC): Components, calculation","WACC Sensitivity Analysis: Calculate WACC for a company using financial data. Use Python to perform sensitivity analysis on WACC components (e.g., cost of debt, equity). Visualize results with matplotlib. Deliverable: Python script, visualizations, 1-page report."
"Module 2: Corporate Finance and Accounting","Chapter 2.3: Cost of Capital and Capital Structure","Capital Asset Pricing Model (CAPM): Beta, risk premium","WACC Sensitivity Analysis: Calculate WACC for a company using financial data. Use Python to perform sensitivity analysis on WACC components (e.g., cost of debt, equity). Visualize results with matplotlib. Deliverable: Python script, visualizations, 1-page report."
"Module 2: Corporate Finance and Accounting","Chapter 2.3: Cost of Capital and Capital Structure","Debt vs. Equity Financing: Trade-offs, optimal structure","WACC Sensitivity Analysis: Calculate WACC for a company using financial data. Use Python to perform sensitivity analysis on WACC components (e.g., cost of debt, equity). Visualize results with matplotlib. Deliverable: Python script, visualizations, 1-page report."
"Module 2: Corporate Finance and Accounting","Chapter 2.3: Cost of Capital and Capital Structure","WACC in LBOs (Investment Banking)","Calculate WACC for an LBO candidate."
"Module 2: Corporate Finance and Accounting","Chapter 2.3: Cost of Capital and Capital Structure","WACC for sustainable projects (Sustainability)","Calculate WACC for a renewable energy project."
"Module 2: Corporate Finance and Accounting","Chapter 2.4: Capital Budgeting and Investment Decisions","Net Present Value (NPV): Calculation, applications","Investment Decision Model: Build an NPV model in Excel for a capital project. Use Python’s scikit-learn to create a decision tree for project approval based on risk factors. Deliverable: Excel model, Python script, 1-page investment recommendation."
"Module 2: Corporate Finance and Accounting","Chapter 2.4: Capital Budgeting and Investment Decisions","Internal Rate of Return (IRR): Uses, limitations","Investment Decision Model: Build an NPV model in Excel for a capital project. Use Python’s scikit-learn to create a decision tree for project approval based on risk factors. Deliverable: Excel model, Python script, 1-page investment recommendation."
"Module 2: Corporate Finance and Accounting","Chapter 2.4: Capital Budgeting and Investment Decisions","Payback Period and Discounted Payback","Investment Decision Model: Build an NPV model in Excel for a capital project. Use Python’s scikit-learn to create a decision tree for project approval based on risk factors. Deliverable: Excel model, Python script, 1-page investment recommendation."
"Module 2: Corporate Finance and Accounting","Chapter 2.4: Capital Budgeting and Investment Decisions","Real Options: Flexibility in investment decisions","Investment Decision Model: Build an NPV model in Excel for a capital project. Use Python’s scikit-learn to create a decision tree for project approval based on risk factors. Deliverable: Excel model, Python script, 1-page investment recommendation."
